Name,Genre,Price,Positive_Reviews,Negative_Reviews,Developer,Release_Date
The Guild Gold Edition,Simulation;Strategy,8.99,175,75,4HEAD Studios,2014-09-09
SpellForce - Platinum Edition,Action;RPG,8.99,694,149,Phenomic,2009-11-03
Painkiller: Resurrection,Action,8.99,90,181,Homegrown Games,2009-10-27
AquaNox,Action,4.49,151,57,THQ Nordic,2010-04-20
AquaNox 2: Revelation,Action,4.49,106,35,THQ Nordic,2010-04-20
The Guild II,Simulation;Strategy,8.99,385,196,4 Head Studios,2010-06-24
The Guild II - Pirates of the European Seas,Simulation;Strategy,8.99,109,49,4 Head Studios,2010-06-24
Chaser,Action,4.49,611,226,Cauldron,2010-07-16
The Guild II Renaissance,Simulation;Strategy,8.99,1944,482,Rune Forge,2010-07-28
ArcaniA,RPG,17.99,735,763,Spellbound Studios,2010-10-11
Nation Red,Action;Indie,1.79,2093,272,DiezelPower,2009-09-03
Coniclysm,Action,3.99,14,15,ZoopTEK,2010-03-26
Supreme Commander 2,Strategy,8.99,5336,903,Gas Powered Games,2010-03-01
ItzaBitza,Casual,6.99,6,2,Sabi Games,2009-10-01
ItzaZoo,Casual,6.99,10,0,Sabi Games,2009-12-09
Risen,RPG,7.99,3848,585,Piranha Bytes,2009-10-02
Rush for Berlin Gold,Strategy,3.99,88,13,Stormregion,2009-10-29
Secret Files: Tunguska,Adventure,7.99,135,32,Animation Arts,2009-10-29
Secret Files 2: Puritas Cordis,Adventure,7.99,60,17,Animation Arts,2009-10-29
Lost Horizon,Adventure,7.99,211,26,Animation Arts,2010-09-24
nail'd,Racing,3.99,859,217,Techland,2010-11-30
Risen 2: Dark Waters,RPG,7.99,2987,891,Piranha Bytes,2012-04-26
AI War: Fleet Command,Indie;Strategy,6.99,1109,205,"Arcen Games, LLC",2009-10-21
Tidalis,Casual;Indie,3.99,130,66,"Arcen Games, LLC",2010-07-16
Sacraboar,Action;Strategy;Indie,2.09,14,42,Makivision Games,2009-11-06
Machinarium,Adventure;Indie,7.99,5437,264,Amanita Design,2009-10-16
Samorost 2,Adventure;Casual;Indie,3.99,716,149,Amanita Design,2009-12-10
The Misadventures of P.B. Winterbottom,Adventure;Indie,3.99,323,42,The Odd Gentlemen,2010-04-20
Stronghold HD,Simulation;Strategy,3.49,2992,199,FireFly Studios,2013-10-21
Stronghold Crusader HD,Simulation;Strategy,7.49,4079,170,FireFly Studios,2013-10-21
Stronghold Legends: Steam Edition,Simulation;Strategy,11.99,404,123,FireFly Studios,2016-09-15
Mafia,Violent;Action;Adventure,7.99,1727,180,Illusion Softworks,2002-08-28
Serious Sam HD: The First Encounter,Action;Indie,10.99,3950,269,Croteam,2009-11-24
Serious Sam 3: BFE,Action;Indie,29.99,15574,1977,Croteam,2011-11-22
Hammerfight,Action;Indie,3.99,1051,514,Konstantin Koshutin,2009-10-28
Altitude,Action;Free to Play;Indie,0.0,1540,128,Nimbly Games,2009-12-04
Doom Rails,Action;Indie,1.99,8,20,"Dream Forge Entertainment, LLC",2009-11-04
Torchlight,RPG,10.99,3825,317,Runic Games,2009-10-27
Earthworm Jim 3D,Action;Adventure,14.99,34,36,VIS Interactive,2009-11-04
Tommy Tronic,Action;Adventure;Indie,6.99,7,7,Oasis Games,2010-10-28
Death and the Fly,Indie,6.99,3,9,Independent Programmist Group,2011-05-23
S.T.A.L.K.E.R.: Call of Pripyat,Action;RPG,12.99,10172,470,GSC Game World,2010-02-11
Cargo! The Quest for Gravity,Action;Adventure;Simulation,6.99,260,72,Ice-Pick Lodge,2011-04-21
Gratuitous Space Battles,Indie;Simulation;Strategy,10.99,505,168,Positech Games,2009-11-16
The Bard's Tale,Action;Adventure;RPG,6.99,644,188,inXile Entertainment,2009-12-11
Trino,Casual;Indie,3.49,9,5,Trinoteam,2011-01-27
Lead and Gold: Gangs of the Wild West,Action,7.99,1471,545,Fatshark,2010-04-08
Hamilton's Great Adventure,Adventure;Casual;Indie,6.99,169,83,Fatshark,2011-05-31
Krater,Action;Adventure;Indie;RPG;Strategy,10.99,429,329,Fatshark,2012-06-12
Nancy DrewÂ®: Secrets Can Kill REMASTERED,Adventure,5.19,48,23,HeR Interactive,2011-07-25
Nancy DrewÂ®: The Captive Curse,Adventure,5.19,48,8,HeR Interactive,2011-07-25
Nancy DrewÂ®: Trail of the Twister,Adventure,4.99,22,8,HeR Interactive,2011-07-25
DogFighter,Action;Indie,1.99,232,152,Dark Water Studios Ltd,2010-06-14
Singularityâ„¢,Action,14.99,2766,227,Raven Software,2010-06-30
Call of DutyÂ®: Black Ops,Action,29.99,14201,1839,Treyarch,2010-11-08
For The Glory: A Europa Universalis Game,Strategy,7.99,59,25,Crystal Empire Games,2009-11-11
Arsenal of Democracy: A Hearts of Iron Game,Strategy,7.99,180,31,BL-Logic,2010-02-23
Sword of the Stars: Complete Collection,Strategy,7.99,355,46,Kerberos Productions Inc.,2010-06-04
Magicka,Action;RPG,7.99,20912,1964,Arrowhead Game Studios,2011-01-25
The Kings' Crusade,Strategy,7.99,41,72,NeoCoreGames,2010-10-08
Elven Legacy: Magic,Strategy,1.59,8,3,1C:InoCo,2009-12-03
Elven Legacy: Siege,Strategy,1.59,4,3,1C:InoCo,2009-11-17
Elven Legacy: Ranger,Strategy,1.59,9,2,1C:InoCo,2009-10-20
Victoria II,Strategy,14.99,4743,632,Paradox Development Studio,2010-08-30
Victoria I Complete,Strategy,7.99,88,41,Paradox Development Studio,2010-08-20
Sword of the Stars II: Enhanced Edition,Strategy,14.99,335,448,Kerberos Productions,2012-11-30
Front Mission Evolved,Action,7.99,481,310,Double Helix Games,2010-10-07
World of Zoo,Simulation,4.99,115,30,Blue Fang,2009-10-30
The Haunted: Hells Reach,Action;Indie,5.99,507,81,KTX Software,2011-10-24
M.U.D. TV,Simulation;Strategy,7.99,70,85,Realmforge Studios,2010-04-19
Nancy DrewÂ®: Warnings at Waverly Academy,Adventure,5.19,46,5,HeR Interactive,2010-01-13
Super Laser  Racer,Action;Indie;Racing,2.99,73,11,New Star Games Ltd,2010-02-18
GRID 2,Racing;Sports,19.98,11953,3009,Codemasters Racing;Feral Interactive (Mac),2013-05-27
F1 2011,Racing;Simulation;Sports,9.99,232,108,Codemasters Birmingham,2011-09-19
GTR - FIA GT Racing Game,Racing;Sports,3.99,43,28,SimBin Studios AB,2012-09-25
RACE Injection,Racing,8.99,11,1,SimBin Studios AB,2011-11-18
GT Legends,Racing;Simulation;Sports,4.99,201,24,SimBin Studios AB,2012-11-28
Sol Survivor,Indie;Strategy,7.19,293,30,Cadenza Interactive,2010-03-15
Secret of the Magic Crystals,Casual;Indie,3.99,1342,265,Artery Games,2010-02-03
Wings of Prey,Simulation,6.99,314,148,Gaijin Entertainment,2010-01-08
Fortix,Indie,0.99,802,69,Nemesys Games,2010-04-14
Ignite,Racing,6.99,154,115,Nemesys Games,2011-10-28
Land It!,Casual;Indie;Simulation,6.99,10,1,Nemesys Games,2016-08-01
Fortix 2,Casual;Indie,1.59,462,45,Nemesys Games,2011-05-06
Devil May Cry 4,Action;Adventure,15.99,1620,144,Capcom,2009-12-22
Dark Voidâ„¢,Action;Adventure,6.49,218,230,Airtight Games,2010-01-22
Lost Planet: Extreme Condition Colonies Edition,Action;Adventure,12.99,134,95,"CAPCOM CO., LTD.",2010-02-11
Dark Voidâ„¢ Zero,Action;Adventure,2.99,130,139,Other Ocean Interactive,2010-04-12
Dead RisingÂ® 2,Action;Adventure,14.99,2713,934,Capcom Vancouver,2010-09-27
Lost PlanetÂ® 2,Action;Adventure,12.99,998,504,"CAPCOM CO., LTD.",2010-10-15
Ultra Street FighterÂ® IV,Action,22.99,8247,1141,Capcom,2014-08-07
Dead Rising 2: Off the Record,Action;Adventure,14.99,1387,376,Capcom Vancouver,2011-10-11
Bob Came in Pieces,Adventure;Indie,3.99,68,29,Ludosity,2010-01-22
A.I.M. Racing,Action;Racing,0.0,54,21,SkyRiver Studios,2010-01-22
NecroVisioN: Lost Company,Action,4.99,169,71,The Farm 51,2010-02-19
Star Wolves 3: Civil War,RPG;Strategy,3.99,312,89,Elite Games Team,2010-03-02
Star Wolves,RPG;Strategy,2.79,182,42,X-Bow Software,2010-03-02
Star Wolves 2,RPG;Strategy,2.79,42,52,X-Bow Software,2010-03-02
Theatre of War,Strategy,2.79,116,86,1C Entertainment,2010-07-09
Theatre of War 2: Africa 1943,Simulation;Strategy,3.99,86,50,1C Entertainment,2010-07-09
Real Warfare 1242,Strategy,2.79,31,30,Unicorn Games Studio,2011-11-30
Theatre of War 2: Kursk 1943,Simulation;Strategy,3.99,81,42,1C Entertainment,2010-07-09
Rig n Roll,Simulation,3.99,165,175,SoftLab-NSK,2010-07-09
Reign: Conflict of Nations,Strategy,2.79,36,44,Lesta Studio,2010-07-12
Greed: Black Border,Action;RPG,3.99,106,153,Headup Games;Clockstone,2010-01-13
Avencast: Rise of the Mage,Action;Indie;RPG,6.99,348,175,ClockStone Studios,2010-03-17
Future Wars,Strategy,3.99,84,204,Radon Labs,2010-07-15
Grotesque Tactics: Evil Heroes,Indie;RPG;Strategy,6.99,217,140,Silent Dreams,2010-10-15
Still Life,Adventure,5.59,431,98,Microids,2011-06-01
Still Life 2,Adventure,5.59,123,155,Microids,2011-06-01
Syberia,Adventure;Casual,9.99,2092,260,Microids,2011-05-19
Syberia II,Adventure,9.99,862,156,Microids,2011-05-19
Wasteland Angel,Action;Indie,6.99,167,119,Octane Games;Meridian4,2011-09-01
Trapped Dead,Action;Strategy,3.99,258,410,Headup Games / Crenetic,2011-07-15
Post Mortem,Adventure,5.59,97,87,MC2,2011-08-26
Grotesque Tactics 2 â€“ Dungeons and Donuts,Adventure;Indie;RPG;Strategy,6.99,103,87,Silent Dreams,2011-11-21
Swarm Arena,Action;Casual;Indie,2.89,40,12,Dedication Games,2010-08-19
Ironclads: American Civil War,Strategy,34.95,9,30,Totem Games,2010-04-28
Ironclads: High Seas,Strategy,34.95,15,21,Totem Games,2010-04-28
Dimensity,RPG,6.99,3,12,Dagger Games,2010-07-21
Hazen: The Dark Whispers,RPG,7.99,10,29,Dagger Games,2010-04-28
World Basketball Manager 2010,Simulation,2.09,40,88,Icehole Games,2010-04-21
Dark Fall: Lost Souls,Adventure;Indie,9.99,109,63,Darkling Room,2010-04-21
Ironclads: Schleswig War 1864,Strategy,34.95,6,13,Totem Games,2011-06-21
Making History II: The War of the World,Indie;Simulation;Strategy,10.99,195,57,Muzzy Lane Software,2010-08-27
Armada 2526,Strategy,10.99,14,12,Ntronium Games,2011-04-08
Ironclads: Anglo Russian War 1866,Strategy,34.95,9,17,Totem games,2011-06-21
Ironclads: Chincha Islands War 1866,Strategy,34.95,3,12,Totem Games,2011-06-21
Zombie Pirates,Casual,10.99,29,17,Dust Devil Studios Inc.,2011-04-20
Escape From Paradise ,Action,6.99,2,3,Gogii,2010-07-08
Escape From Paradise 2,Action,6.99,2,0,Gogiii,2010-07-08
Book of Legends,Adventure,6.99,5,2,Gogii,2010-07-08
Stronghold 3 Gold,Simulation;Strategy,0.0,971,2385,FireFly Studios,2012-05-25
Stronghold Kingdoms,Free to Play;Massively Multiplayer;Strategy,0.0,4886,2609,FireFly Studios,2012-02-27
Command & Conquer 4: Tiberian Twilight,Strategy,9.99,378,1712,EA Los Angeles,2010-03-18
Dragon Ageâ„¢: Origins Awakening,RPG,9.99,92,7,BioWare,2010-03-18
Dead Spaceâ„¢ 2,Action,14.99,8943,493,Visceral Games,2011-01-27
Medal of Honorâ„¢,Action,14.99,3209,1370,Electronic Arts,2010-10-12
RISKâ„¢: Factions,Strategy,7.99,405,214,Stainless Games,2011-03-08
Dragon Age: Origins - Ultimate Edition,RPG,19.99,8808,726,BioWare,2010-10-29
Need For Speed: Hot Pursuit,Racing,14.99,11405,2775,Criterion Games,2010-12-14
The Simsâ„¢ 3,Simulation,24.99,11679,2493,The Sims Studio,2011-01-27
Shift 2 Unleashed,Racing,19.99,1071,629,Slightly Mad Studios,2011-03-31
LIMBO,Adventure;Indie,6.99,30321,1994,Playdead,2011-08-02
Silent Hunter 5Â®: Battle of the Atlantic,Simulation,25.99,516,752,Ubisoft Romania,2010-03-01
Voodoo Dice,Casual,8.59,4,1,Exkee,2010-07-15
Assassinâ€™s CreedÂ® Brotherhood,Action;Adventure,12.49,6676,929,Ubisoft Montreal,2011-03-17
Anno 2070â„¢,Strategy,16.99,5653,3686,Blue Byte;Related Designs,2011-11-17
Mount & Blade: Warband,Action;RPG,14.99,75872,2213,TaleWorlds Entertainment,2010-03-31
Mount & Blade: With Fire & Sword,Action;RPG,7.99,6236,1055,TaleWorlds Entertainment,2011-05-03
Ship Simulator Extremes,Simulation,14.99,676,794,VStep,2010-08-27
Greed Corp,Strategy,6.99,399,68,Vanguard Games,2010-12-10
Hotel Dashâ„¢ Suite Successâ„¢,Casual,4.99,24,6,PlayFirst,2010-05-06
Commander: Conquest of the Americas,Strategy,7.99,60,74,Nitro Games,2010-07-30
Woody Two-Legs: Attack of the Zombie Pirates,Casual,3.99,32,24,Nitro Games,2010-11-02
Magic: The Gathering - Duels of the Planeswalkers 2012,Strategy,0.0,705,95,Stainless Games Ltd,2011-06-15
Borderlands 2,Action;RPG,19.99,144595,11021,Gearbox Software;Aspyr (Mac);Aspyr (Linux),2012-09-20
Beat Hazard,Action;Casual;Indie,6.99,6296,328,Cold Beam Games,2010-04-15
Flight of the Icarus,Action;Indie,3.99,95,148,Muse Games,2010-05-12
CreaVures,Indie,3.99,117,25,Muse Games,2011-02-23
Plain Sight,Action;Indie,3.99,177,83,Beatnik Games,2010-04-05
Nimbus,Indie;Racing,5.99,179,10,Noumenon Games,2010-10-25
Mafia II,Action,19.99,31445,1855,2K Czech;Feral Interactive (Mac),2011-03-22
Spec Ops: The Line,Action;Adventure,19.99,32361,2613,YAGER,2012-06-28
Burn Zombie Burn!,Action,6.99,65,93,doublesix,2010-08-12
Professor Fizzwizzle and the Molten Mystery,Casual,4.99,12,0,Big Fish Games,2010-04-21
Hidden Expedition: Amazon,Casual;Indie,6.99,8,4,Big Fish Games,2010-04-21
Hidden Expedition: Everest,Casual,6.99,2,3,Big Fish Games,2010-04-21
Hidden Expedition: Titanic,Casual,6.99,5,1,Big Fish Games,2010-04-21
Mystery Case Files: Huntsvilleâ„¢,Casual,6.99,17,3,Big Fish Games,2010-04-21
Mystery Case Files: Madame FateÂ®,Casual,4.99,15,6,Big Fish Games,2007-12-14
Mystery Case Files: Prime Suspectsâ„¢,Casual,4.99,9,3,Big Fish Games,2010-04-21
Mystery Case Files: RavenhearstÂ®,Casual,6.99,24,1,Big Fish Games,2010-04-21
Mystery Case Files: Return to Ravenhearstâ„¢,Casual,6.99,16,8,Big Fish Games,2010-04-21
My Tribe,Casual;Simulation,6.99,33,15,Big Fish Games,2010-04-21
Unwell Mel,Casual,4.99,5,1,Big Fish Games,2010-04-21
Atlantis Sky Patrol,Casual;Indie,6.99,6,1,Big Fish Games,2010-04-21
DrawnÂ®: The Painted Tower,Adventure;Casual,6.99,87,13,Big Fish Studios,2011-01-19
Flotilla,Adventure;Indie;Strategy,6.99,166,25,Blendo Games,2010-04-01
Atom Zombie Smasher,Indie;Strategy,6.99,1397,180,Blendo Games,2011-03-14
Homefront,Action,14.99,5506,3685,Kaos Studios;Digital Extremes,2011-03-14
Red FactionÂ®: Armageddonâ„¢,Action,14.99,2674,1005,Volition,2011-06-09
MX vs. ATV Reflex,Racing,14.99,1599,359,Double Helix Games;Rainbow Studios;THQ Nordic,2010-11-26
"Warhammer 40,000: Space Marine",Action,19.99,9847,998,Relic,2011-09-08
Saints Row: The Third,Action,6.99,44810,1877,Volition,2011-11-17
NyxQuest: Kindred Spirits,Action;Adventure,1.99,87,9,Over the Top Games,2010-09-27
Puzzle Dimension,Casual;Indie,1.99,412,41,Doctor Entertainment AB,2010-06-21
Amnesia: The Dark Descent,Action;Adventure;Indie,14.99,20222,1199,Frictional Games,2010-09-08
Patrician IV - Steam Special Edition,Strategy,9.99,153,129,Gaming Minds Studios,2010-09-17
Broken Sword: Director's Cut,Adventure,4.99,1131,108,Revolution Software Ltd,2010-09-02
Dungeons,RPG;Strategy,6.99,214,266,Realmforge Studios,2011-02-04
The First Templar - Steam Special Edition,Action;Adventure,6.99,473,208,Haemimont Games,2011-05-12
Tropico 4,Simulation;Strategy,12.49,8740,827,Haemimont Games,2011-09-01
Who's That Flying?!,Action;Casual;Indie,3.99,98,42,Mediatonic,2011-01-31
Jagged Alliance - Back in Action,RPG;Simulation;Strategy,14.99,730,345,Coreplay GmbH;Bigmoon Studios,2012-02-08
Doc Clock: The Toasted Sandwich of Time,Adventure;Casual;Indie,2.99,79,92,Stickmen Studios,2010-10-15
Duke Nukem Forever,Action,14.99,4433,2243,Gearbox Software,2011-06-09
Jolly Rover,Adventure;Casual;Indie,6.99,249,31,Brawsome,2010-06-07
MacGuffin's Curse,Adventure;Casual;Indie,6.99,81,16,Brawsome,2012-04-19
Turba,Casual;Indie,3.49,46,83,Binary Takeover,2010-07-01
Blood Bowl - Legendary Edition,Sports;Strategy,7.99,675,228,Cyanide Studios,2010-10-28
A Game of Thrones - Genesis,Strategy,6.99,201,420,Cyanide Studios,2011-09-28
Runaway: A Twist of Fate,Adventure,6.99,191,34,Pendulo Studios,2011-04-21
The Next BIG Thing,Adventure,6.99,352,59,Pendulo Studios,2011-04-21
Wargame: European Escalation,Strategy,7.99,1892,574,Eugen Systems,2012-02-22
Luxor: 5th Passage,Action;Adventure;Casual,6.99,39,20,MumboJumbo,2011-01-25
Glowfish,Adventure;Casual;Indie,6.99,80,11,MumboJumbo,2011-09-30
ProtoGalaxy,Action;Indie,0.0,30,22,Source Studio Ltd.,2010-10-06
Power of Defense,Strategy;Indie,6.99,9,25,4sdk,2010-08-04
Numen: Contest of Heroes,RPG,4.99,66,69,"CINEMAX, s.r.o.",2010-06-03
Lucid,Indie;Casual,4.99,171,53,YeaBoing,2011-07-19
Fractal: Make Blooms Not War,Indie;Casual,4.99,140,44,Cipher Prime Studios,2011-11-29
Age of Wonders,RPG;Strategy,3.99,334,98,Triumph Studios,2010-10-01
Age of Wonders II: The Wizard's Throne,RPG;Strategy,6.99,105,28,Triumph Studios,2010-10-01
Age of Wonders Shadow Magic,RPG;Strategy,6.99,225,35,Triumph Studios,2010-10-01
Zen Bound 2,Indie;Casual,3.99,432,65,Secret Exit Ltd.,2010-11-16
Might & Magic: Clash of Heroes,RPG;Strategy,8.59,1293,157,Capybara Games,2011-09-21
Critter Crunch,Action;Indie;Casual,4.99,256,14,Capybara Games,2012-09-11
Flight Control HD,Action;Casual,2.99,406,36,Firemint,2010-11-18
Chime,Casual,3.99,564,39,ZoÃ« Mode,2010-09-06
HOARD,Action;Casual;Indie;Strategy,6.99,673,168,Big Sandwich Games,2011-04-04
Alter Ego,Adventure,7.19,139,59,bitComposer Games,2010-08-03
Monday Night Combat,Action;Strategy;Indie;Sports,3.99,720,205,Uber Entertainment,2011-01-24
Swords and Soldiers HD,Action;Casual;Indie;Strategy,6.99,572,160,Ronimo Games,2010-12-02
Riven: The Sequel to MYST,Adventure;Casual,3.99,288,103,Cyan Worlds,2010-08-04
URU: Complete Chronicles,Adventure;Casual,6.99,68,18,Cyan Worlds,2010-08-03
Myst: Masterpiece Edition,Adventure;Casual,3.99,155,80,Cyan Worlds,2011-02-02
BIT.TRIP BEAT,Action;Casual;Indie,6.99,616,140,Gaijin Games,2010-11-02
BIT.TRIP RUNNER,Action;Indie,6.99,3058,490,Gaijin Games,2011-02-28
Delve Deeper,Adventure;Indie;RPG;Strategy,3.99,225,159,Lunar Giant,2010-09-24
Fantasy Wars,Strategy,3.99,115,28,Ino-Co,2010-08-06
King's Bounty: Crossworlds,RPG;Strategy,11.99,492,47,Katauri Interactive,2010-09-17
Men of War: Vietnam,Strategy,5.59,399,247,1C Entertainment,2011-09-08
Theatre of War 3: Korea,Strategy,4.99,50,76,1C Entertainment,2011-03-24
Men of War: Assault Squad,Strategy,7.19,2881,416,Digitalmindsoft,2011-02-24
Ride 'em Low,Racing;Simulation,2.09,56,55,Red Dot Games;PLAY,2013-11-04
Kaptain Brawe: A Brawe New World,Adventure,3.99,87,30,Cateia Games,2011-01-20
Demolition Company Gold Edition,Simulation,7.19,144,27,Giants Software,2011-08-04
Archon Classic,Strategy;Indie,6.99,87,17,React Games,2010-11-02
Aura: Fate of the Ages,Adventure,4.49,84,63,Streko Graphics,2010-10-04
SpellForce 2: Faith in Destiny,RPG;Strategy,13.99,125,85,Mind Over Matter Studios,2012-06-19
Gothic 1,Action;RPG,0.0,3396,523,Piranha Bytes,2001-03-15
Painkiller Redemption,Action,4.49,206,196,Eggtooth Team,2011-02-25
Gothic 3: Forsaken Gods Enhanced Edition,RPG,8.99,247,254,Trine Studios;G3 Community Patch Team;Mad Vulture Games,2011-03-22
ArcaniA: Fall of Setarrif,RPG,13.99,119,225,Spellbound Studios,2011-10-24
Pat & Mat,Casual,3.99,297,59,Centauri Production,2010-11-05
Take On Helicopters,Simulation,11.99,340,260,Bohemia Interactive,2011-10-27
Carrier Command: Gaea Mission,Action;Strategy,19.99,362,442,Bohemia Interactive,2012-09-28
ARMA: Gold Edition,Action;Simulation;Strategy,5.99,548,209,Bohemia Interactive,2011-07-13
ARMA: Cold War Assault,Action;Simulation;Strategy,3.49,3195,942,Bohemia Interactive,2011-08-08
Dungeon Defenders,Action;Indie;RPG;Strategy,9.99,10693,932,Trendy Entertainment,2011-10-18
The Bureau: XCOM Declassified,Action,14.99,6661,2923,2K Marin,2013-08-22
Sid Meier's CivilizationÂ®: Beyond Earthâ„¢,Strategy,29.99,9555,8224,Firaxis Games;Aspyr (Mac);Aspyr (Linux),2014-10-23
